name,pop_2019
Buk-gu�[North Distrikt],293412
Busanjin-gu,360541
Dong-gu,89959
Dongnae-gu,272214
Gangseo-gu,134692
Geumjeong-gu,243535
Gijang-gun,166679
Haeundae-gu,410126
Jung-gu[Central District],43844
Nam-gu,280411
Saha-gu,325264
Sasang-gu,223036
Seo-gu�[West District],110106
Suyeong-gu,177428
Yeongdo-gu,118372
Yeonje-gu,210221
Boeun-gun,33453
Cheongju-si,853714
Chungju-si,216070
Danyang-gun,29970
Eumseong-gun,104434
Goesan-gun,40149
Jecheon-si,136242
Jeungpyeonggun,38171
Jincheon-gun,87157
Okcheon-gun,51770
Yeongdong-gun,49591
Asan-si,333074
Boryeong-si,104162
Buyeo-gun,67984
Cheonan-si,672556
Cheonansiseobukgu,336278
Cheonansidongnamgu,336278
Cheongyang-gun,32359
Dangjinsi,173024
Geumsan-gun,54596
Gongju-si,108629
Gyeryongsi,43188
Hongseong-gun,102872
Nonsan-si,122981
Seocheon-gun,54205
Seosan-si,179151
Taean-gun,64115
Yesan-gun,81488
Buk-gu�[North Distrikt],442943
Dalseo-gu,579352
Dalseong-gun,262580
Dong-gu�[East District],347376
Jung-gu�[Central District],78219
Nam-gu�[South District],149660
Seo-gu�[West District],177758
Suseong-gu,430334
Daedeok-gu,179419
Dong-gu�[East District],232012
Jung-gu�[Central District],242006
Seo-gu�[West District],485026
Yuseong-gu,355516
Cheorwon-gun,46295
Chuncheon-si,285585
Donghae-si,91453
Gangneung-si,215911
Goseong-gun,28392
Hoengseong-gun,47257
Hongcheon-gun,70065
Hwacheon-gun,25181
Inje-gun,31981
Jeongseon-gun,37573
Pyeongchang-gun,42577
Samcheok-si,68001
Sokcho-si,82824
Taebaek-si,44124
Wonju-si,352860
Yanggu-gun,23052
Yangyang-gun,28032
Yeongwol-gun,39408
Buk-gu�[North Distrikt],438734
Dong-gu�[East District],100504
Gwangsan-gu,418776
Nam-gu�[South District],219613
Seo-gu�[West District],302666
Ansan-si,707385
Ansansisangnokgu,235795
Ansansidanwongu,235795
Anyangsimanangu,235795
Anseong-si,195207
Anyang-si,574464
Bucheon-si,855685
Dongducheon-si,98245
Gapyeong-gun,63462
Gimpo-si,457556
Goyang-si,1078859
Gunpo-si,282862
Guri-si,200755
Gwacheon-si,58462
Gwangju-si,385640
Gwangmyeong-si,322494
Hanam-si,274734
Hwaseongsi,855949
Icheon-si,223349
Namyangju-si,709307
Osan-si,236075
Paju-si,465612
Pocheonsi,161643
Pyeongtaek-si,537135
Seongnam-si,960342
Siheung-si,508379
Suwon-si,1235022
Uijeongbu-si,456776
Uiwang-si,162344
Yangjusi,229778
Yangpyeong-gun,118374
Yeoju-gun,114659
Yeoncheon-gun,44839
Yonginsi,1078591
Andong-si,161533
Bonghwa-gun,32464
Cheongdo-gun,43952
Cheongsong-gun,25623
Chilgok-gun,121085
Gimcheon-si,143620
Goryeong-gun,34122
Gumi-si,424719
Gunwi-gun,24381
Gyeongju-si,267196
Gyeongsan-si,274898
Mungyeong-si,72924
Pohang-si,513104
Sangju-si,101678
Seongju-gun,45713
Uiseong-gun,53237
Uljin-gun,50810
Ulleung-gun,9785
Yecheon-gun,55664
Yeongcheon-si,105721
Yeongdeok-gun,38358
Yeongju-si,106170
Yeongyang-gun,17198
Changnyeong-gun,65120
Changwon-si,1059813
Geochang-gun,62726
Geoje-si,256578
Gimhae-si,561468
Goseong-gun,53532
Hadong-gun,47099
Haman-gun,69198
Hamyang-gun,40141
Hapcheon-gun,45799
Jinju-si,352553
Miryang-si,108422
Namhae-gun,44483
Sacheon-si,115342
Sancheong-gun,36025
Tongyeong-si,135366
Uiryeong-gun,27933
Yangsan-si,357078
Bupyeong-gu,526126
Dong-gu�[East District],65362
Ganghwa-gun,70037
Gyeyang-gu,306817
Jung-gu�[Central District],139385
Michuhol-gu�[Nam-gu],418494
Namdong-gu,545131
Ongjin-gun,20791
Seo-gu,557415
Yeonsu-gu,379727
Jeju-si,505950
Seogwipo-si,190707
Buan-gun,54150
Gimje-si,85924
Gochang-gun,56467
Gunsan-si,276232
Iksan-si,292916
Imsil-gun,29244
Jangsu-gun,22818
Jeongeup-si,113415
Jeonjusiwansangu,331549
Jeonjusideokjingu,331549
Jinan-gun,26070
Muju-gun,24536
Namwon-si,82463
Sunchang-gun,28777
Wanju-gun,95881
Boseong-gun,41908
Damyang-gun,47533
Gangjin-gun,35742
Goheung-gun,65972
Gokseong-gun,29376
Gurye-gun,26784
Gwangyang-si,158437
Haenam-gun,71806
Hampyeong-gun,33560
Hwasun-gun,63646
Jangheung-gun,39155
Jangseong-gun,46836
Jindo-gun,32232
Mokpo-si,233175
Muan-gun,82733
Naju-si,117445
Sinan-gun,41102
Suncheon-si,281722
Wando-gun,52858
Yeongam-gun,59109
Yeonggwang-gun,54773
Yeosu-si,287479
Sejong,346275
Sejong-si,346275
Gwangju, 1480293
Dobong-gu,335631
Dongdaemun-gu,363023
Dongjak-gu,408912
Eunpyeong-gu,484546
Gangbuk-gu,317695
Gangdong-gu,440390
Gangnam-gu,550209
Gangseo-gu,598273
Geumcheon-gu,251820
Guro-gu,439371
Gwanak-gu,517334
Gwangjin-gu,366972
Jongno-gu,161869
Jung-gu[Central District],136488
Jungnang-gu,402024
Mapo-gu,385925
Nowon-gu,537303
Seocho-gu,435107
Seodaemun-gu,323171
Seongbuk-gu,454744
Seongdong-gu,308979
Songpa-gu,682741
Yangcheon-gu,462285
Yeongdeungpo-gu,400986
Yongsan-gu,245185
Buk-gu,220323
Dong-gu,163106
Jung-gu,225644
Nam-gu�[South District],328932
Ulju-gun,230464
